paper_full,temp,rate,std_rate,paper,extra_info,,,,,,,,,,
bl1982_France,0,6.30,0.60,bl1982,France,,,,,,,,,,
bl1982_France,5,10.94,1.04,bl1982,France,,,,,,,,,,
bl1982_France,10,15.54,1.48,bl1982,France,,,,,,,,,,
bl1982_France,15,13.35,1.27,bl1982,France,,,,,,,,,,
bl1982_France,20,10.51,1.00,bl1982,France,,,,,,,,,,
bl1982_France,23,0.00,0.00,bl1982,France,,,,,,,,,,
bl1982_Norway,0,3.86,0.51,bl1982,Norway,,,,,,,,,,
bl1982_Norway,5,11.04,1.45,bl1982,Norway,,,,,,,,,,
bl1982_Norway,10,17.38,2.28,bl1982,Norway,,,,,,,,,,
bl1982_Norway,15,16.47,2.16,bl1982,Norway,,,,,,,,,,
bl1982_Norway,20,7.63,1.00,bl1982,Norway,,,,,,,,,,
bl1982_Norway,23,0.00,0.00,bl1982,Norway,,,,,,,,,,
bl1982_Germany,0,5.46,0.59,bl1982,Germany,,,,,,,,,,
bl1982_Germany,5,10.06,1.09,bl1982,Germany,,,,,,,,,,
bl1982_Germany,10,15.10,1.64,bl1982,Germany,,,,,,,,,,
bl1982_Germany,15,12.23,1.33,bl1982,Germany,,,,,,,,,,
bl1982_Germany,20,9.19,1.00,bl1982,Germany,,,,,,,,,,
bl1982_Germany,23,0.00,0.00,bl1982,Germany,,,,,,,,,,
bl1982_UK,0,7.42,0.77,bl1982,UK,,,,,,,,,,
bl1982_UK,5,14.25,1.48,bl1982,UK,,,,,,,,,,
bl1982_UK,10,16.99,1.77,bl1982,UK,,,,,,,,,,
bl1982_UK,15,18.25,1.90,bl1982,UK,,,,,,,,,,
bl1982_UK,20,9.61,1.00,bl1982,UK,,,,,,,,,,
bl1982_UK,23,0.00,0.00,bl1982,UK,,,,,,,,,,
fl1980,0,2.20,0.39,fl1980,Germany,,,,,,,,,,
fl1980,5,6.18,1.10,fl1980,Germany,,,,,,,,,,
fl1980,10,7.85,1.39,fl1980,Germany,,,,,,,,,,
fl1980,15,9.15,1.63,fl1980,Germany,,,,,,,,,,
fl1980,20,5.63,1.00,fl1980,Germany,,,,,,,,,,
dd1987,0,0.33,0.59,dd1987,Germany,,,,,,,,,,
dd1987,5,0.62,1.11,dd1987,Germany,,,,,,,,,,
dd1987,10,0.59,1.05,dd1987,Germany,,,,,,,,,,
dd1987,15,0.69,1.23,dd1987,Germany,,,,,,,,,,
dd1987,20,0.56,1.00,dd1987,Germany,,,,,,,,,,
d1987_0,0,9.01,0.87,d1987,0,,,,,,,,,,
d1987_0,5,11.14,1.08,d1987,0,,,,,,,,,,
d1987_0,10,11.71,1.13,d1987,0,,,,,,,,,,
d1987_0,15,14.26,1.38,d1987,0,,,,,,,,,,
d1987_0,20,10.33,1.00,d1987,0,,,,,,,,,,
d1987_0,25,2.66,0.26,d1987,0,,,,,,,,,,
d1987_0,30,0.48,0.05,d1987,0,,,,,,,,,,
d1987_5,0,6.88,0.71,d1987,5,,,,,,,,,,
d1987_5,5,7.86,0.82,d1987,5,,,,,,,,,,
d1987_5,10,9.08,0.94,d1987,5,,,,,,,,,,
d1987_5,15,13.03,1.35,d1987,5,,,,,,,,,,
d1987_5,20,9.63,1.00,d1987,5,,,,,,,,,,
d1987_5,25,5.90,0.61,d1987,5,,,,,,,,,,
d1987_5,30,0.84,0.09,d1987,5,,,,,,,,,,
d1987_10,0,3.47,0.38,d1987,10,,,,,,,,,,
d1987_10,5,5.10,0.55,d1987,10,,,,,,,,,,
d1987_10,10,6.61,0.72,d1987,10,,,,,,,,,,
d1987_10,15,10.06,1.09,d1987,10,,,,,,,,,,
d1987_10,20,9.20,1.00,d1987,10,,,,,,,,,,
d1987_10,25,8.99,0.98,d1987,10,,,,,,,,,,
d1987_10,30,2.27,0.25,d1987,10,,,,,,,,,,
d1987_15,0,2.63,0.41,d1987,15,,,,,,,,,,
d1987_15,5,3.28,0.51,d1987,15,,,,,,,,,,
d1987_15,10,4.51,0.70,d1987,15,,,,,,,,,,
d1987_15,15,7.53,1.17,d1987,15,,,,,,,,,,
d1987_15,20,6.44,1.00,d1987,15,,,,,,,,,,
d1987_15,25,5.87,0.91,d1987,15,,,,,,,,,,
d1987_15,30,1.44,0.22,d1987,15,,,,,,,,,,
d1987_20,0,3.24,0.42,d1987,20,,,,,,,,,,
d1987_20,5,4.26,0.55,d1987,20,,,,,,,,,,
d1987_20,10,6.72,0.87,d1987,20,,,,,,,,,,
d1987_20,15,8.67,1.13,d1987,20,,,,,,,,,,
d1987_20,20,7.69,1.00,d1987,20,,,,,,,,,,
d1987_20,25,8.92,1.16,d1987,20,,,,,,,,,,
d1987_20,30,3.96,0.51,d1987,20,,,,,,,,,,