Date,Tank,Level (ppm),Level (umol),,,,,
6/8/2023,Ambient,0.45,7.2576,,,,,
6/13/2023,Ambient,0.53,8.54784,,,,,
6/13/2023,Tank #1,0.68,10.96704,,,,,
6/13/2023,Tank #2,0.75,12.096,,,,,
6/13/2023,Tank #3,0.75,12.096,,,,,
6/16/2023,Ambient,0.2,3.2256,,,,,
6/21/2023,Ambient,0.64,10.32192,,,,,
6/21/2023,Ambient,0.24,3.87072,,,,,
6/26/2023,Ambient,0.41,6.61248,,,,,
6/28/2023,Ambient,0.53,8.54784,,,,,
7/3/2023,Ambient,0.52,8.38656,,,,,
7/5/2023,Ambient,1.02,16.45056,,,,,
7/10/2023,Ambient,0.32,5.16096,,,,,
7/12/2023,Ambient,0.4,6.4512,,,,,
7/14/2023,Ambient,0.63,10.16064,,,,,
7/17/2023,Ambient,0.5,8.064,,,,,
7/19/2023,Ambient,0.54,8.70912,,,,,
7/24/2023,Ambient,0.16,2.58048,,,,,
7/26/2023,Tank #1,0.43,6.93504,,,,,
8/2/2023,Ambient,0.41,6.61248,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,